Time,susceptible_lambda
566.75,0
567,0
567.25,0
567.5,0
567.75,0
568,0
568.25,0
568.5,0
568.75,0
569,0
569.25,0
569.5,0
569.75,0
570,0
570.25,0
570.5,0
570.75,0
571,0
571.25,0
571.5,0
571.75,0
572,0
572.25,0
572.5,0
572.75,0
573,0
573.25,0
573.5,0
573.75,0
574,0
574.25,0
574.5,0
574.75,0
575,0
575.25,0
575.5,0
575.75,0
576,0
576.25,0
576.5,0
576.75,0
577,0
577.25,0
577.5,0
577.75,0
578,0
578.25,0
578.5,0
578.75,0
579,0
579.25,0
579.5,0
579.75,0
580,0
580.25,0
580.5,0
580.75,0
581,0
581.25,0
581.5,0
581.75,0
582,0
582.25,0
582.5,0
582.75,0
583,0
583.25,0
583.5,0
583.75,0
584,0
584.25,0
584.5,0
584.75,0
585,0
585.25,0
585.5,0
585.75,0
586,0
586.25,0
586.5,0
586.75,0
587,0
587.25,0
587.5,0
587.75,0
588,0
588.25,0
588.5,0
588.75,0
589,0
589.25,0
589.5,0
589.75,0
590,0
590.25,0
590.5,0
590.75,0
591,0
591.25,0
591.5,0
591.75,0
592,0
592.25,0
592.5,0
592.75,0
593,0
593.25,0
593.5,0
593.75,0
594,0
594.25,0
594.5,0
594.75,0
595,0
595.25,0
595.5,0
595.75,0
596,0
596.25,0
596.5,0
596.75,0
597,0
597.25,0
597.5,0
597.75,0
598,0
598.25,0
598.5,0
598.75,0
599,0
599.25,0
599.5,0
599.75,0
600,0
600.25,0
600.5,0
600.75,0
601,0
601.25,0
601.5,0
601.75,0
602,0
602.25,0
602.5,0
602.75,0
603,0
603.25,0
603.5,0
603.75,0
604,0
604.25,0
604.5,0
604.75,0
605,0
605.25,0
605.5,0
605.75,0
606,0
606.25,0
606.5,0
606.75,0
607,0
607.25,0
607.5,0
607.75,0
608,0
608.25,0
608.5,0
608.75,0
609,0
609.25,0
609.5,0
609.75,0
610,0
610.25,0
610.5,0
610.75,0
611,0
611.25,0
611.5,0
611.75,0
612,0
612.25,0
612.5,0
612.75,0
613,0
613.25,0
613.5,0
613.75,0
614,0
614.25,0
614.5,0
614.75,0
615,0
615.25,0
615.5,0
615.75,0
616,0
616.25,0
616.5,0
616.75,0
617,0
617.25,0
617.5,0
617.75,0
618,0
618.25,0
618.5,0
618.75,0
619,0
619.25,0
619.5,0
619.75,0
620,0
620.25,0
620.5,0
620.75,0
621,0
621.25,0
621.5,0
621.75,0
622,0
622.25,0
622.5,0
622.75,0
623,0
623.25,0
623.5,0
623.75,0
624,0
624.25,0
624.5,0
624.75,0
625,0
625.25,0
625.5,0
625.75,0
626,0
626.25,0
626.5,0
626.75,0
627,0
627.25,0
627.5,0
627.75,0
628,0
628.25,0
628.5,0
628.75,0
629,0
629.25,0
629.5,0
629.75,0
630,0
630.25,0
630.5,0
630.75,0
631,0
631.25,0
631.5,0
631.75,0
632,0
632.25,0
632.5,0
632.75,0
633,0
633.25,0
633.5,0
633.75,0
634,0
634.25,0
634.5,0
634.75,0
635,0
635.25,0
635.5,0
635.75,0
636,0
636.25,0
636.5,0
636.75,0
637,0
637.25,0
637.5,0
637.75,0
638,0
638.25,0
638.5,0
638.75,0
639,0
639.25,0
639.5,0
639.75,0
640,0
640.25,0
640.5,0
640.75,0
641,0
641.25,0
641.5,0
641.75,0
642,0
642.25,0
642.5,0
642.75,0
643,0
643.25,0
643.5,0
643.75,0
644,0
644.25,0
644.5,0
644.75,0
645,0
645.25,0
645.5,0
645.75,0
646,0
646.25,0
646.5,0
646.75,0
647,0
647.25,0
647.5,0
647.75,0
648,0
648.25,0
648.5,0
648.75,0
649,0
649.25,0
649.5,0
649.75,0
650,0
650.25,0
650.5,0
650.75,0
651,0
651.25,0
651.5,0
651.75,0
652,0
652.25,0
652.5,0
652.75,0
653,0
653.25,0
653.5,0
653.75,0
654,0
654.25,0
654.5,0
654.75,0
655,0
655.25,0
655.5,0
655.75,0
656,0
656.25,0
656.5,0
656.75,0
657,0
657.25,0
657.5,0
657.75,0
658,0
658.25,0
658.5,0
658.75,0
659,0
659.25,0
659.5,0
659.75,0
660,0
660.25,0
660.5,0
660.75,0
661,0
661.25,0
661.5,0
661.75,0
662,0
662.25,0
662.5,0
662.75,0
663,0
663.25,0
663.5,0
663.75,0
664,0
664.25,0
664.5,0
664.75,0
665,0
665.25,0
665.5,0
665.75,0
666,0
666.25,0
666.5,0
666.75,0
667,0
667.25,0
667.5,0
667.75,0
668,0
668.25,0
668.5,0
668.75,0
669,0
669.25,0
669.5,0
669.75,0
670,0
670.25,0
670.5,0
670.75,0
671,0
671.25,0
671.5,0
671.75,0
672,0
672.25,0
672.5,0
672.75,0
673,0
673.25,0
673.5,0
673.75,0
674,0
674.25,0
674.5,0
674.75,0
675,0
675.25,0
675.5,0
675.75,0
676,0
676.25,0
676.5,0
676.75,0
677,0
677.25,0
677.5,0
677.75,0
678,0
678.25,0
678.5,0
678.75,0
679,0
679.25,0
679.5,0
679.75,0
680,0
680.25,0
680.5,0
680.75,0
681,0
681.25,0
681.5,0
681.75,0
682,0
682.25,0
682.5,0
682.75,0
683,0
683.25,0
683.5,0
683.75,0
684,0
684.25,0
684.5,0
684.75,0
685,0
685.25,0
685.5,0
685.75,0
686,0
686.25,0
686.5,0
686.75,0
687,0
687.25,0
687.5,0
687.75,0
688,0
688.25,0
688.5,0
688.75,0
689,0
689.25,0
689.5,0
689.75,0
690,0
690.25,0
690.5,0
690.75,0
691,0
691.25,0
691.5,0
691.75,0
692,0
692.25,0
692.5,0
692.75,0
693,0
693.25,0
693.5,0
693.75,0
694,0
694.25,0
694.5,0
694.75,0
695,0
695.25,0
695.5,0
695.75,0
696,0
696.25,0
696.5,0
696.75,0
697,0
697.25,0
697.5,0
697.75,0
698,0
698.25,0
698.5,0
698.75,0
699,0
699.25,0
699.5,0
699.75,0
