Time,num_exposed
623.25,0
623.5,0
623.75,0
624,0
624.25,0
624.5,0
624.75,0
625,0
625.25,0
625.5,0
625.75,0
626,0
626.25,0
626.5,0
626.75,0
627,0
627.25,0
627.5,0
627.75,0
628,0
628.25,0
628.5,0
628.75,0
629,0
629.25,0
629.5,0
629.75,0
630,0
630.25,0
630.5,0
630.75,0
631,0
631.25,0
631.5,0
631.75,0
632,0
632.25,0
632.5,0
632.75,0
633,0
633.25,0
633.5,0
633.75,0
634,0
634.25,0
634.5,0
634.75,0
635,0
635.25,0
635.5,0
635.75,0
636,0
636.25,0
636.5,0
636.75,0
637,0
637.25,0
637.5,0
637.75,0
638,0
638.25,0
638.5,0
638.75,0
639,0
639.25,0
639.5,0
639.75,0
640,0
640.25,0
640.5,0
640.75,0
641,0
641.25,0
641.5,0
641.75,0
642,0
642.25,0
642.5,0
642.75,0
643,0
643.25,0
643.5,0
643.75,0
644,0
644.25,0
644.5,0
644.75,0
645,0
645.25,0
645.5,0
645.75,0
646,0
646.25,0
646.5,0
646.75,0
647,0
647.25,0
647.5,0
647.75,0
648,0
648.25,0
648.5,0
648.75,0
649,0
649.25,0
649.5,0
649.75,0
650,0
650.25,0
650.5,0
650.75,0
651,0
651.25,0
651.5,0
651.75,0
652,0
652.25,0
652.5,0
652.75,0
653,0
653.25,0
653.5,0
653.75,0
654,0
654.25,0
654.5,0
654.75,0
655,0
655.25,0
655.5,0
655.75,0
656,0
656.25,0
656.5,0
656.75,0
657,0
657.25,0
657.5,0
657.75,0
658,0
658.25,0
658.5,0
658.75,0
659,0
659.25,0
659.5,0
659.75,0
660,0
660.25,0
660.5,0
660.75,0
661,0
661.25,0
661.5,0
661.75,0
662,0
662.25,0
662.5,0
662.75,0
663,0
663.25,0
663.5,0
663.75,0
664,0
664.25,0
664.5,0
664.75,0
665,0
665.25,0
665.5,0
665.75,0
666,0
666.25,0
666.5,0
666.75,0
667,0
667.25,0
667.5,0
667.75,0
668,0
668.25,0
668.5,0
668.75,0
669,0
669.25,0
669.5,0
669.75,0
670,0
670.25,0
670.5,0
670.75,0
671,0
671.25,0
671.5,0
671.75,0
672,0
672.25,0
672.5,0
672.75,0
673,0
673.25,0
673.5,0
673.75,0
674,0
674.25,0
674.5,0
674.75,0
675,0
675.25,0
675.5,0
675.75,0
676,0
676.25,0
676.5,0
676.75,0
677,0
677.25,0
677.5,0
677.75,0
678,0
678.25,0
678.5,0
678.75,0
679,0
679.25,0
679.5,0
679.75,0
680,0
680.25,0
680.5,0
680.75,0
681,0
681.25,0
681.5,0
681.75,0
682,0
682.25,0
682.5,0
682.75,0
683,0
683.25,0
683.5,0
683.75,0
684,0
684.25,0
684.5,0
684.75,0
685,0
685.25,0
685.5,0
685.75,0
686,0
686.25,0
686.5,0
686.75,0
687,0
687.25,0
687.5,0
687.75,0
688,0
688.25,0
688.5,0
688.75,0
689,0
689.25,0
689.5,0
689.75,0
690,0
690.25,0
690.5,0
690.75,0
691,0
691.25,0
691.5,0
691.75,0
692,0
692.25,0
692.5,0
692.75,0
693,0
693.25,0
693.5,0
693.75,0
694,0
694.25,0
694.5,0
694.75,0
695,0
695.25,0
695.5,0
695.75,0
696,0
696.25,0
696.5,0
696.75,0
697,0
697.25,0
697.5,0
697.75,0
698,0
698.25,0
698.5,0
698.75,0
699,0
699.25,0
699.5,0
699.75,0
